shape,count,how
CVC,1024,"p, t and k open a quarter of the words they could; a voiceless stop closes a three letter word half the time; an even sieve keeping 4 of 6"
CVCC,1792,"a hush or a tooth sound opens a word closing on a cluster half the time; a liquid stands first in a closing cluster half the time; a voiceless stop stands last in a closing cluster three quarters of the time"
CCVC,1280,"a hush or a tooth sound stands second in an opening cluster three quarters of the time; a voiceless stop closes a word opening on a cluster a quarter of the time; an even sieve keeping 4 of 5"
