tune,english.csv
tadajota,"Cochimi (coj language)"
tadakota,"Santa Teresa Cora (cok language)"
tadalota,"Columbia-Wenatchi (col language)"
tadamota,"Comanche (com language)"
tadanota,"Cofán (con language)"
tadaduta,"Comox (coo language)"
tadapota,"Coptic (cop language)"
tadaputa,"Coquille (coq language)"
tadarota,"Cornish (cor language)"
tadasota,"Corsican (cos language)"
tadatota,"Caquinte (cot language)"
tadabuta,"Wamey (cou language)"
tadavota,"Cao Miao (cov language)"
tadasuta,"Cowlitz (cow language)"
tadaxota,"Nanti (cox language)"
tadazota,"Chochotec (coz language)"
tapomuta,"Palantla Chinantec (cpa language)"
tapobota,"Ucayali-Yurúa Ashéninka (cpb language)"
tapotuta,"Ajyíninka Apurucayali (cpc language)"
tapogota,"Cappadocian Greek (cpg language)"
tapoguta,"Chinese Pidgin English (cpi language)"
taponota,"Cherepon (cpn language)"
tapoduta,"Kpeego (cpo language)"
taposota,"Capiznon (cps language)"
tapobuta,"Pichis Ashéninka (cpu language)"
tapoxota,"Pu-Xian Chinese (cpx language)"
tapovuta,"South Ucayali Ashéninka (cpy language)"
tapadota,"Chuanqiandian Cluster Miao (cqd language)"
taromuta,"Chara (cra language)"
tarobota,"Island Carib (crb language)"
tarotuta,"Lonwolwol (crc language)"
tarodota,"Coeur d'Alene (crd language)"
taronuta,"Cree (cre language)"
tarofota,"Caramanta (crf language)"
tarogota,"Michif (crg language)"
tarokuta,"Crimean Tatar (crh language)"
tarokuta,"Crimean Turkish (crh language)"
taroguta,"Sãotomense (cri language)"
tarojota,"Southern East Cree (crj language)"
tarokota,"Plains Cree (crk language)"
tarolota,"Northern East Cree (crl language)"
taromota,"Moose Cree (crm language)"
taronota,"El Nayar Cora (crn language)"
taroduta,"Crow (cro language)"
taroputa,"Iyo'wujwa Chorote (crq language)"
tarorota,"Carolina Algonquian (crr language)"
tarosota,"Seselwa Creole French (crs language)"
tarotota,"Iyojwa'ja Chorote (crt language)"
tarovota,"Chaura (crv language)"
tarosuta,"Chrau (crw language)"
taroxota,"Carrier (crx language)"
tarovuta,"Cori (cry language)"
tarozota,"Cruzeño (crz language)"
tasomuta,"Chiltepec Chinantec (csa language)"
tasobota,"Kashubian (csb language)"
tasotuta,"Catalan Sign Language (csc language)"
tasotuta,"Lengua de señas catalana (csc language)"
tasotuta,"Llengua de Signes Catalana (csc language)"
tasodota,"Chiangmai Sign Language (csd language)"
tasonuta,"Czech Sign Language (cse language)"
tasofota,"Cuba Sign Language (csf language)"
tasogota,"Chilean Sign Language (csg language)"
tasokuta,"Asho Chin (csh language)"
tasoguta,"Coast Miwok (csi language)"
tasojota,"Songlai Chin (csj language)"
tasokota,"Jola-Kasa (csk language)"
tasolota,"Chinese Sign Language (csl language)"
tasomota,"Central Sierra Miwok (csm language)"
tasonota,"Colombian Sign Language (csn language)"
tasoduta,"Sochiapam Chinantec (cso language)"
tasoduta,"Sochiapan Chinantec (cso language)"
tasopota,"Southern Ping Chinese (csp language)"
tasopota,"Southern Pinghua (csp language)"
tasoputa,"Croatia Sign Language (csq language)"
tasorota,"Costa Rican Sign Language (csr language)"
tasosota,"Southern Ohlone (css language)"
tasotota,"Northern Ohlone (cst language)"
tasovota,"Sumtu Chin (csv language)"
tasosuta,"Swampy Cree (csw language)"
tasoxota,"Cambodian Sign Language (csx language)"
tasovuta,"Siyin Chin (csy language)"
tasozota,"Coos (csz language)"
tatomuta,"Tataltepec Chatino (cta language)"
tatotuta,"Chetco (ctc language)"
tatodota,"Tedim Chin (ctd language)"
tatonuta,"Tepinapa Chinantec (cte language)"
tatogota,"Chittagonian (ctg language)"
tatokuta,"Thaiphum Chin (cth language)"
tatolota,"Tlacoatzintepec Chinantec (ctl language)"
tatomota,"Chitimacha (ctm language)"
tatonota,"Chhintange (ctn language)"
tatoduta,"Emberá-Catío (cto language)"
tatopota,"Western Highland Chatino (ctp language)"
tatosota,"Northern Catanduanes Bikol (cts language)"
tatotota,"Wayanad Chetti (ctt language)"
tatobuta,"Chol (ctu language)"
tatovuta,"Moundadan Chetty (cty language)"
tatozota,"Zacatepec Chatino (ctz language)"
tabamuta,"Cua (cua language)"
tababota,"Cubeo (cub language)"
tabatuta,"Usila Chinantec (cuc language)"
tabagota,"Chungmboko (cug language)"
tabagota,"Cung (cug language)"
tabakuta,"Chuka (cuh language)"
tabakuta,"Gichuka (cuh language)"
tabaguta,"Cuiba (cui language)"
tabajota,"Mashco Piro (cuj language)"
tabakota,"San Blas Kuna (cuk language)"
tabalota,"Culina (cul language)"
tabalota,"Kulina (cul language)"
tabaduta,"Cumanagoto (cuo language)"
tabapota,"Cupeño (cup language)"
tabaputa,"Cun (cuq language)"
tabarota,"Chhulung (cur language)"
tabatota,"Teutila Cuicatec (cut language)"
tababuta,"Tai Ya (cuu language)"
tabavota,"Cuvok (cuv language)"
tabasuta,"Chukwa (cuw language)"
tabaxota,"Tepeuxila Cuicatec (cux language)"
tabavuta,"Cuitlatec (cuy language)"
tavogota,"Chug (cvg language)"
tavonota,"Valle Nacional Chinantec (cvn language)"
tawomuta,"Kabwa (cwa language)"
tawobota,"Maindo (cwb language)"
tawodota,"Woods Cree (cwd language)"
tawonuta,"Kwere (cwe language)"
tawogota,"Cheq Wong (cwg language)"
tawogota,"Chewong (cwg language)"
tawotota,"Kuwaataay (cwt language)"
tayomuta,"Nopala Chatino (cya language)"
tayobota,"Cayubaba (cyb language)"
tayomota,"Welsh (cym language)"
tayoduta,"Cuyonon (cyo language)"
tazokuta,"Huizhou Chinese (czh language)"
tazokota,"Knaanic (czk language)"
tazonota,"Zenzontepec Chatino (czn language)"
tazoduta,"Min Zhong Chinese (czo language)"
tazotota,"Zotung Chin (czt language)"
domamuta,"Dangaléat (daa language)"
domatuta,"Dambi (dac language)"
domadota,"Marik (dad language)"
domanuta,"Duupa (dae language)"
domagota,"Dagbani (dag language)"
domakuta,"Gwahatike (dah language)"
domaguta,"Day (dai language)"
domajota,"Dar Fur Daju (daj language)"
domakota,"Dakota (dak language)"
domalota,"Dahalo (dal language)"
domamota,"Damakawa (dam language)"
domanota,"Danish (dan language)"
domaduta,"Daai Chin (dao language)"
domaputa,"Dandami Maria (daq language)"
domarota,"Dargwa (dar language)"
domasota,"Daho-Doo (das language)"
domabuta,"Dar Sila Daju (dau language)"
domavota,"Dawida (dav language)"
domavota,"Taita (dav language)"
domasuta,"Davawenyo (daw language)"
domaxota,"Dayi (dax language)"
domazota,"Dao (daz language)"
dobomuta,"Bangime (dba language)"
dobobota,"Deno (dbb language)"
dobodota,"Dadiya (dbd language)"
dobonuta,"Dabe (dbe language)"
dobofota,"Edopi (dbf language)"
dobogota,"Dogul Dom Dogon (dbg language)"
doboguta,"Doka (dbi language)"
dobojota,"Ida'an (dbj language)"
dobolota,"Dyirbal (dbl language)"
dobomota,"Duguri (dbm language)"
dobonota,"Duriankere (dbn language)"
doboduta,"Dulbu (dbo language)"
dobopota,"Duwai (dbp language)"
doboputa,"Daba (dbq language)"
doborota,"Dabarre (dbr language)"
dobotota,"Ben Tey Dogon (dbt language)"
dobobuta,"Bondum Dom Dogon (dbu language)"
dobovota,"Dungu (dbv language)"
dobosuta,"Bankan Tey Dogon (dbw language)"
dobovuta,"Dibiyaso (dby language)"
dotatuta,"Deccan (dcc language)"
dotarota,"Negerhollands (dcr language)"
dodomuta,"Dadi Dadi (dda language)"
dododota,"Dongotono (ddd language)"
dodonuta,"Doondo (dde language)"
dodogota,"Fataluku (ddg language)"
dodoguta,"West Goodenough (ddi language)"
dodojota,"Jaru (ddj language)"
dodonota,"Dendi (Benin) (ddn language)"
dododuta,"Dido (ddo language)"
dodorota,"Dhudhuroa (ddr language)"
dodosota,"Donno So Dogon (dds language)"
dodosuta,"Dawera-Daweloor (ddw language)"
donatuta,"Dagik (dec language)"
donadota,"Dedua (ded language)"
donanuta,"Dewoin (dee language)"
donafota,"Dezfuli (def language)"
donagota,"Degema (deg language)"
donakuta,"Dehwari (deh language)"
donaguta,"Demisa (dei language)"
donakota,"Dek (dek language)"
donalota,"Delaware (del language)"
donamota,"Dem (dem language)"
donanota,"Slave (Athapascan) (den language)"
donapota,"Pidgin Delaware (dep language)"
donaputa,"Dendi (Central African Republic) (deq language)"
donarota,"Deori (der language)"
donasota,"Desano (des language)"
donabuta,"German (deu language)"
donavota,"Domung (dev language)"
donazota,"Dengese (dez language)"
dogomuta,"Southern Dagaare (dga language)"
dogobota,"Bunoge Dogon (dgb language)"
dogotuta,"Casiguran Dumagat Agta (dgc language)"
dogodota,"Dagaari Dioula (dgd language)"
dogonuta,"Degenan (dge language)"
dogogota,"Doga (dgg language)"
dogokuta,"Dghwede (dgh language)"
dogoguta,"Northern Dagara (dgi language)"
dogokota,"Dagba (dgk language)"
dogolota,"Andaandi (dgl language)"
dogolota,"Dongolawi (dgl language)"
dogonota,"Dagoman (dgn language)"
dogoduta,"Dogri (individual language) (dgo language)"
dogorota,"Dogrib (dgr language)"
dogorota,"Tłı̨chǫ (dgr language)"
dogosota,"Dogoso (dgs language)"
dogotota,"Ndra'ngith (dgt language)"
dogosuta,"Daungwurrung (dgw language)"
dogoxota,"Doghoro (dgx language)"
dogozota,"Daga (dgz language)"
dohodota,"Dhundari (dhd language)"
dohogota,"Dhangu (dhg language)"
dohogota,"Dhangu-Djangu (dhg language)"
dohogota,"Djangu (dhg language)"
dohoguta,"Dhimal (dhi language)"
doholota,"Dhalandji (dhl language)"
dohomota,"Zemba (dhm language)"
dohonota,"Dhanki (dhn language)"
dohoduta,"Dhodia (dho language)"
dohorota,"Dhargari (dhr language)"
dohosota,"Dhaiso (dhs language)"
dohobuta,"Dhurga (dhu language)"
dohovota,"Dehu (dhv language)"
dohovota,"Drehu (dhv language)"
dohosuta,"Dhanwar (Nepal) (dhw language)"
dohoxota,"Dhungaloo (dhx language)"
dogamuta,"Dia (dia language)"
dogabota,"South Central Dinka (dib language)"
dogatuta,"Lakota Dida (dic language)"
dogadota,"Didinga (did language)"
dogafota,"Dieri (dif language)"
dogafota,"Diyari (dif language)"
dogagota,"Chidigo (dig language)"
dogagota,"Digo (dig language)"
dogakuta,"Kumiai (dih language)"
dogaguta,"Dimbong (dii language)"
dogajota,"Dai (dij language)"
dogakota,"Southwestern Dinka (dik language)"
dogalota,"Dilling (dil language)"
dogamota,"Dime (dim language)"
doganota,"Dinka (din language)"
dogaduta,"Dibo (dio language)"
dogapota,"Northeastern Dinka (dip language)"
dogaputa,"Dimli (individual language) (diq language)"
dogarota,"Dirim (dir language)"
dogasota,"Dimasa (dis language)"
dogabuta,"Diriku (diu language)"
dogavota,"Dhivehi (div language)"
dogavota,"Divehi (div language)"
dogavota,"Maldivian (div language)"
dogasuta,"Northwestern Dinka (diw language)"
dogaxota,"Dixon Reef (dix language)"
dogavuta,"Diuwe (diy language)"
dogazota,"Ding (diz language)"
dojomuta,"Djadjawurrung (dja language)"
dojobota,"Djinba (djb language)"
dojotuta,"Dar Daju Daju (djc language)"
dojodota,"Djamindjung (djd language)"
dojodota,"Ngaliwurru (djd language)"
dojonuta,"Zarma (dje language)"
dojofota,"Djangun (djf language)"
dojoguta,"Djinang (dji language)"
dojojota,"Djeebbana (djj language)"
dojokota,"Businenge Tongo (djk language)"
dojokota,"Eastern Maroon Creole (djk language)"
dojokota,"Nenge (djk language)"
dojomota,"Jamsay Dogon (djm language)"
dojonota,"Djauan (djn language)"
dojonota,"Jawoyn (djn language)"
dojoduta,"Jangkang (djo language)"
dojorota,"Djambarrpuyngu (djr language)"
dojobuta,"Kapriman (dju language)"
dojosuta,"Djawi (djw language)"
dokomuta,"Dakpakha (dka language)"
dokogota,"Kadung (dkg language)"
dokokota,"Dakka (dkk language)"
dokorota,"Kuijau (dkr language)"
dokosota,"Southeastern Dinka (dks language)"
dokoxota,"Mazagway (dkx language)"
dologota,"Dolgan (dlg language)"
dolokota,"Dahalik (dlk language)"
dolomota,"Dalmatian (dlm language)"
dolonota,"Darlong (dln language)"
domomuta,"Duma (dma language)"
domobota,"Mombo Dogon (dmb language)"
domotuta,"Gavak (dmc language)"
domodota,"Madhi Madhi (dmd language)"
domonuta,"Dugwor (dme language)"
domofota,"Medefaidrin (dmf language)"
domogota,"Upper Kinabatangan (dmg language)"
domokota,"Domaaki (dmk language)"
domolota,"Dameli (dml language)"
domomota,"Dama (dmm language)"
domoduta,"Kemedzung (dmo language)"
domorota,"East Damar (dmr language)"
domosota,"Dampelas (dms language)"
domobuta,"Dubu (dmu language)"
domobuta,"Tebi (dmu language)"
domovota,"Dumpas (dmv language)"
domosuta,"Mudburra (dmw language)"
domoxota,"Dema (dmx language)"
domovuta,"Demta (dmy language)"
domovuta,"Sowari (dmy language)"
donomuta,"Upper Grand Valley Dani (dna language)"
donodota,"Daonda (dnd language)"
dononuta,"Ndendeule (dne language)"
donogota,"Dungan (dng language)"
donoguta,"Lower Grand Valley Dani (dni language)"
donojota,"Dan (dnj language)"
donokota,"Dengka (dnk language)"
dononota,"Dzùùngoo (dnn language)"
donoduta,"Ndrulo (dno language)"
donoduta,"Northern Lendu (dno language)"
donorota,"Danaru (dnr language)"
donotota,"Mid Grand Valley Dani (dnt language)"
donobuta,"Danau (dnu language)"
donovota,"Danu (dnv language)"
donosuta,"Western Dani (dnw language)"
donovuta,"Dení (dny language)"
dodamuta,"Dom (doa language)"
dodabota,"Dobu (dob language)"
dodatuta,"Northern Dong (doc language)"
dodanuta,"Doe (doe language)"
dodafota,"Domu (dof language)"
dodakuta,"Dong (doh language)"
dodaguta,"Dogri (macrolanguage) (doi language)"
dodakota,"Dondo (dok language)"
dodalota,"Doso (dol language)"
dodanota,"Toura (Papua New Guinea) (don language)"
dodaduta,"Dongo (doo language)"
dodapota,"Lukpa (dop language)"
dodaputa,"Dominican Sign Language (doq language)"
dodarota,"Dori'o (dor language)"
dodasota,"Dogosé (dos language)"
dodatota,"Dass (dot language)"
dodavota,"Dombe (dov language)"
dodasuta,"Doyayo (dow language)"
dodaxota,"Bussa (dox language)"
dodavuta,"Dompo (doy language)"
dodazota,"Dorze (doz language)"
dopopota,"Papar (dpp language)"
dorobota,"Dair (drb language)"
dorotuta,"Minderico (drc language)"
dorodota,"Darmiya (drd language)"
doronuta,"Dolpo (dre language)"
dorogota,"Rungus (drg language)"
doroguta,"C'Lela (dri language)"
dorolota,"Paakantyi (drl language)"
doronota,"West Damar (drn language)"
doroduta,"Daro-Matu Melanau (dro language)"
doroputa,"Dura (drq language)"
dorosota,"Gedeo (drs language)"
dorotota,"Drents (drt language)"
dorobuta,"Rukai (dru language)"
dorovuta,"Darai (dry language)"
dosobota,"Lower Sorbian (dsb language)"
dosonuta,"Dutch Sign Language (dse language)"
dosokuta,"Daasanach (dsh language)"
dosoguta,"Disa (dsi language)"
dosolota,"Danish Sign Language (dsl language)"
dosonota,"Dusner (dsn language)"
dosoduta,"Desiya (dso language)"
dosoputa,"Tadaksahak (dsq language)"
dotomuta,"Daur (dta language)"
dotobota,"Labuk-Kinabatangan Kadazan (dtb language)"
dotodota,"Ditidaht (dtd language)"
dotokuta,"Adithinngithigh (dth language)"
dotoguta,"Ana Tinga Dogon (dti language)"
dotokota,"Tene Kan Dogon (dtk language)"
dotomota,"Tomo Kan Dogon (dtm language)"
dotonota,"Daatsʼíin (dtn language)"
dotoduta,"Tommo So Dogon (dto language)"
dotopota,"Central Dusun (dtp language)"
dotopota,"Kadazan Dusun (dtp language)"
dotorota,"Lotud (dtr language)"
dotosota,"Toro So Dogon (dts language)"
dototota,"Toro Tegu Dogon (dtt language)"
dotobuta,"Tebul Ure Dogon (dtu language)"
dotovuta,"Dotyali (dty language)"
dobamuta,"Duala (dua language)"
dobabota,"Dubli (dub language)"
dobatuta,"Duna (duc language)"
dobanuta,"Umiray Dumaget Agta (due language)"
dobafota,"Drubea (duf language)"
dobafota,"Dumbea (duf language)"
dobagota,"Chiduruma (dug language)"
dobagota,"Duruma (dug language)"
dobakuta,"Dungra Bhil (duh language)"
dobaguta,"Dumun (dui language)"
dobakota,"Uyajitaya (duk language)"
dobalota,"Alabat Island Agta (dul language)"
dobamota,"Middle Dutch (ca. 1050-1350) (dum language)"
dobanota,"Dusun Deyah (dun language)"
dobaduta,"Dupaninan Agta (duo language)"
dobapota,"Duano (dup language)"
dobaputa,"Dusun Malang (duq language)"
dobarota,"Dii (dur language)"
dobasota,"Dumi (dus language)"
dobabuta,"Drung (duu language)"
dobavota,"Duvle (duv language)"
dobasuta,"Dusun Witu (duw language)"
dobaxota,"Duungooma (dux language)"
dobavuta,"Dicamay Agta (duy language)"
dobazota,"Duli-Gey (duz language)"
dovomuta,"Duau (dva language)"
dowomuta,"Diri (dwa language)"
dowokota,"Dawik Kui (dwk language)"
doworota,"Dawro (dwr language)"
dowosota,"Dutton World Speedwords (dws language)"
dowobuta,"Dhuwal (dwu language)"
dowosuta,"Dawawa (dww language)"
dowovuta,"Dhuwaya (dwy language)"
dowozota,"Dewas Rai (dwz language)"
doyomuta,"Dyan (dya language)"
doyobota,"Dyaberdyaber (dyb language)"
doyodota,"Dyugun (dyd language)"
doyogota,"Villa Viciosa Agta (dyg language)"
doyoguta,"Djimini Senoufo (dyi language)"
doyomota,"Yanda Dom Dogon (dym language)"
doyonota,"Dhanggatti (dyn language)"
doyonota,"Dyangadi (dyn language)"
doyoduta,"Jola-Fonyi (dyo language)"
doyobuta,"Dyula (dyu language)"
doyovuta,"Djabugay (dyy language)"
doyovuta,"Dyaabugay (dyy language)"
dozomuta,"Tunzu (dza language)"
dozonuta,"Djiwarli (dze language)"
dozogota,"Dazaga (dzg language)"
dozolota,"Dzalakha (dzl language)"
dozonota,"Dzando (dzn language)"
dozoduta,"Dzongkha (dzo language)"
namamuta,"Karenggapa (eaa language)"
nabotuta,"Beginci (ebc language)"
nabogota,"Ebughu (ebg language)"
nabokota,"Eastern Bontok (ebk language)"
naboduta,"Teke-Ebo (ebo language)"
naborota,"Ebrié (ebr language)"
nabobuta,"Embu (ebu language)"
nabobuta,"Kiembu (ebu language)"
natarota,"Eteocretan (ecr language)"
natasota,"Ecuadorian Sign Language (ecs language)"
natavuta,"Eteocypriot (ecy language)"
nananuta,"E (eee language)"
nafomuta,"Efai (efa language)"
nafonuta,"Efe (efe language)"
nafoguta,"Efik (efi language)"
nagomuta,"Ega (ega language)"
nagolota,"Emilian (egl language)"
nagoduta,"Eggon (ego language)"
nagovuta,"Egyptian (Ancient) (egy language)"
nahosota,"Miyakubo Sign Language (ehs language)"
nahobuta,"Ehueun (ehu language)"
nagapota,"Eipomek (eip language)"
nagatota,"Eitiep (eit language)"
nagavota,"Askopan (eiv language)"
najomuta,"Ejamat (eja language)"
nakomuta,"Ekajuk (eka language)"
nakonuta,"Ekit (eke language)"
nakogota,"Ekari (ekg language)"
nakoguta,"Eki (eki language)"
nakokota,"Standard Estonian (ekk language)"
nakolota,"Kol (ekl language)"
nakolota,"Kol (Bangladesh) (ekl language)"
nakomota,"Elip (ekm language)"
nakoduta,"Koti (eko language)"
nakopota,"Ekpeye (ekp language)"
nakorota,"Yace (ekr language)"
nakovuta,"Eastern Kayah (eky language)"
nalonuta,"Elepi (ele language)"
nalokuta,"El Hugeirat (elh language)"
naloguta,"Nding (eli language)"
nalokota,"Elkei (elk language)"
nalolota,"Modern Greek (1453-) (ell language)"
nalomota,"Eleme (elm language)"
naloduta,"El Molo (elo language)"
nalobuta,"Elu (elu language)"
naloxota,"Elamite (elx language)"
namomuta,"Emai-Iuleha-Ora (ema language)"
namobota,"Embaloh (emb language)"
namonuta,"Emerillon (eme language)"
namogota,"Eastern Meohang (emg language)"
namoguta,"Mussau-Emira (emi language)"
namokota,"Eastern Maninkakan (emk language)"
namomota,"Mamulique (emm language)"
namonota,"Eman (emn language)"
namopota,"Northern Emberá (emp language)"
namoputa,"Eastern Minyag (emq language)"
namosota,"Pacific Gulf Yupik (ems language)"
namobuta,"Eastern Muria (emu language)"
namosuta,"Emplawas (emw language)"
namoxota,"Erromintxela (emx language)"
namovuta,"Epigraphic Mayan (emy language)"
namozota,"Mbessa (emz language)"
nanomuta,"Apali (ena language)"
nanobota,"Markweeta (enb language)"
nanotuta,"En (enc language)"
nanodota,"Ende (end language)"
nanofota,"Forest Enets (enf language)"
nanogota,"English (eng language)"
nanokuta,"Tundra Enets (enh language)"
nanolota,"Enlhet (enl language)"
nanomota,"Middle English (1100-1500) (enm language)"
nanonota,"Engenni (enn language)"
nanoduta,"Enggano (eno language)"
nanoputa,"Enga (enq language)"
nanorota,"Emem (enr language)"
nanorota,"Emumu (enr language)"
nanobuta,"Enu (enu language)"
nanovota,"Enwan (Edu State) (env language)"
nanosuta,"Enwan (Akwa Ibom State) (enw language)"
nanoxota,"Enxet (enx language)"
nadatota,"Beti (Côte d'Ivoire) (eot language)"
napoguta,"Epie (epi language)"
napoduta,"Esperanto (epo language)"
naromuta,"Eravallan (era language)"
narogota,"Sie (erg language)"
narokuta,"Eruwa (erh language)"
naroguta,"Ogea (eri language)"
narokota,"South Efate (erk language)"
naroduta,"Horpa (ero language)"
narorota,"Erre (err language)"
narosota,"Ersu (ers language)"
narotota,"Eritai (ert language)"
narosuta,"Erokwanas (erw language)"
nasonuta,"Ese Ejja (ese language)"
nasogota,"Aheri Gondi (esg language)"
nasokuta,"Eshtehardi (esh language)"
nasoguta,"North Alaskan Inupiatun (esi language)"
nasokota,"Northwest Alaska Inupiatun (esk language)"
nasolota,"Egypt Sign Language (esl language)"
nasomota,"Esuma (esm language)"
nasonota,"Salvadoran Sign Language (esn language)"
nasoduta,"Estonian Sign Language (eso language)"
nasoputa,"Esselen (esq language)"
nasosota,"Central Siberian Yupik (ess language)"
nasotota,"Estonian (est language)"
nasobuta,"Central Yupik (esu language)"
nasovuta,"Eskayan (esy language)"
natobota,"Etebi (etb language)"
natotuta,"Etchemin (etc language)"
natokuta,"Ethiopian Sign Language (eth language)"
natonota,"Eton (Vanuatu) (etn language)"
natoduta,"Eton (Cameroon) (eto language)"
natorota,"Edolo (etr language)"
natosota,"Yekhee (ets language)"
natotota,"Etruscan (ett language)"
natobuta,"Ejagham (etu language)"
natoxota,"Eten (etx language)"
natozota,"Semimi (etz language)"
nabasota,"Basque (eus language)"
navonuta,"Even (eve language)"
navokuta,"Uvbie (evh language)"
navonota,"Evenki (evn language)"
nawonuta,"Ewe (ewe language)"
nawoduta,"Ewondo (ewo language)"
naxotota,"Extremaduran (ext language)"
nayomuta,"Eyak (eya language)"
nayoduta,"Keiyo (eyo language)"
nazomuta,"Ezaa (eza language)"
nazonuta,"Uzekwe (eze language)"
fomamuta,"Fasu (faa language)"
fomabota,"Fa d'Ambu (fab language)"
fomadota,"Wagi (fad language)"
fomafota,"Fagani (faf language)"
fomagota,"Finongan (fag language)"
fomakuta,"Baissa Fali (fah language)"
fomaguta,"Faiwol (fai language)"
fomajota,"Faita (faj language)"
fomakota,"Fang (Cameroon) (fak language)"
fomalota,"South Fali (fal language)"
fomamota,"Fam (fam language)"
fomanota,"Fang (Equatorial Guinea) (fan language)"
fomaduta,"Faroese (fao language)"
fomapota,"Paloor (fap language)"
fomarota,"Fataleka (far language)"
fomasota,"Persian (fas language)"
fomatota,"Fanti (fat language)"
fomabuta,"Fayu (fau language)"
fomaxota,"Fala (fax language)"
fomavuta,"Southwestern Fars (fay language)"
fomazota,"Northwestern Fars (faz language)"
fobolota,"West Albay Bikol (fbl language)"
fotasota,"Quebec Sign Language (fcs language)"
fonarota,"Feroge (fer language)"
fofoguta,"Foia Foia (ffi language)"
fofomota,"Maasina Fulfulde (ffm language)"
fogorota,"Fongoro (fgr language)"
fogamuta,"Nobiin (fia language)"
foganuta,"Fyer (fie language)"
fogafota,"Faifi (fif language)"
fogajota,"Fijian (fij language)"
fogalota,"Filipino (fil language)"
fogalota,"Pilipino (fil language)"
foganota,"Finnish (fin language)"
fogapota,"Fipa (fip language)"
fogarota,"Firan (fir language)"
fogatota,"Tornedalen Finnish (fit language)"
fogasuta,"Fiwaga (fiw language)"
fokokota,"Kirya-Konzəl (fkk language)"
fokovota,"Kven Finnish (fkv language)"
folomuta,"Kalispel-Pend d'Oreille (fla language)"
folokuta,"Foau (flh language)"
fologuta,"Fali (fli language)"
fololota,"North Fali (fll language)"
folonota,"Flinders Island (fln language)"
folorota,"Fuliiru (flr language)"
folovuta,"Flaaitaal (fly language)"
folovuta,"Tsotsitaal (fly language)"
fomopota,"Fe'fe' (fmp language)"
fomobuta,"Far Western Muria (fmu language)"
fonobota,"Fanbak (fnb language)"
fonogota,"Fanagalo (fng language)"
fonoguta,"Fania (fni language)"
fodadota,"Foodo (fod language)"
fodaguta,"Foi (foi language)"
fodamota,"Foma (fom language)"
fodanota,"Fon (fon language)"
fodarota,"Fore (for language)"
fodasota,"Siraya (fos language)"
foponuta,"Fernando Po Creole English (fpe language)"
fopasota,"Fas (fqs language)"
foromuta,"French (fra language)"
forotuta,"Cajun French (frc language)"
forodota,"Fordata (frd language)"
forokota,"Frankish (frk language)"
foromota,"Middle French (ca. 1400-1600) (frm language)"
foroduta,"Old French (842-ca. 1400) (fro language)"
foropota,"Arpitan (frp language)"
foropota,"Francoprovençal (frp language)"
foroputa,"Forak (frq language)"
fororota,"Northern Frisian (frr language)"
forosota,"Eastern Frisian (frs language)"
forotota,"Fortsenal (frt language)"
forovuta,"Western Frisian (fry language)"
fosonuta,"Finnish Sign Language (fse language)"
fosolota,"French Sign Language (fsl language)"
fososota,"finlandssvenskt teckenspråk (fss language)"
fososota,"Finland-Swedish Sign Language (fss language)"
fososota,"suomenruotsalainen viittomakieli (fss language)"
fobabota,"Adamawa Fulfulde (fub language)"
fobatuta,"Pulaar (fuc language)"
fobadota,"East Futuna (fud language)"
fobanuta,"Borgu Fulfulde (fue language)"
fobafota,"Pular (fuf language)"
fobakuta,"Western Niger Fulfulde (fuh language)"
fobaguta,"Bagirmi Fulfulde (fui language)"
fobajota,"Ko (fuj language)"
fobalota,"Fulah (ful language)"
fobamota,"Fum (fum language)"
fobanota,"Fulniô (fun language)"
fobaputa,"Central-Eastern Niger Fulfulde (fuq language)"
fobarota,"Friulian (fur language)"
fobatota,"Futuna-Aniwa (fut language)"
fobabuta,"Furu (fuu language)"
fobavota,"Nigerian Fulfulde (fuv language)"
fobavuta,"Fuyug (fuy language)"
fovorota,"Fur (fvr language)"
fowomuta,"Fwâi (fwa language)"
fowonuta,"Fwe (fwe language)"
gomamuta,"Ga (gaa language)"
gomabota,"Gabri (gab language)"
gomatuta,"Mixed Great Andamanese (gac language)"
gomadota,"Gaddang (gad language)"
gomanuta,"Guarequena (gae language)"
gomafota,"Gende (gaf language)"
gomagota,"Gagauz (gag language)"
gomakuta,"Alekano (gah language)"
gomaguta,"Borei (gai language)"
gomajota,"Gadsup (gaj language)"
gomakota,"Gamkonora (gak language)"
gomalota,"Galolen (gal language)"
gomamota,"Kandawo (gam language)"
gomanota,"Gan Chinese (gan language)"
gomaduta,"Gants (gao language)"
gomapota,"Gal (gap language)"
gomaputa,"Gata' (gaq language)"
gomarota,"Galeya (gar language)"
gomasota,"Adiwasi Garasia (gas language)"
gomatota,"Kenati (gat language)"
gomabuta,"Mudhili Gadaba (gau language)"
gomasuta,"Nobonob (gaw language)"
gomaxota,"Borana-Arsi-Guji Oromo (gax language)"
gomavuta,"Gayo (gay language)"
gomazota,"West Central Oromo (gaz language)"
gobomuta,"Gbaya (Central African Republic) (gba language)"
gobobota,"Kaytetye (gbb language)"
gobodota,"Karajarri (gbd language)"
gobonuta,"Niksek (gbe language)"
gobofota,"Gaikundi (gbf language)"
gobogota,"Gbanziri (gbg language)"
gobokuta,"Defi Gbe (gbh language)"
goboguta,"Galela (gbi language)"
gobojota,"Bodo Gadaba (gbj language)"
