variant,cvc,cvcc,ccvc,all,lean,moved,cvc_by,cvcc_by,ccvc_by
01,1024,1792,1280,4096,672,10,"2 closings go; a three letter word never opens on a hush or a tooth sound; echo same; sieve 0 1 2 3 of 5","1 liquid closings go; a word closing on a cluster never opens on a glide; sieve 0 1 2 3 4 of 6","a word opening on a cluster never closes on a hush or a tooth; echo same"
02,1024,1792,1280,4096,686,11,"2 closings go; a three letter word never opens on a hush or a tooth sound; echo same; sieve 0 1 2 3 of 5","1 liquid closings go; a word closing on a cluster never opens on a glide; sieve 0 1 2 3 4 of 6","a word opening on a cluster never closes on a liquid; echo same; sieve 0 1 2 3 of 5"
03,1024,1792,1280,4096,671,13,"2 closings go; a three letter word never opens on a hush or a tooth sound; echo same; sieve 0 1 2 3 of 5","3 openings go; 2 other closings go; echo same","a word opening on a cluster never closes on a hush or a tooth; echo same"
04,1024,1792,1280,4096,685,14,"2 closings go; a three letter word never opens on a hush or a tooth sound; echo same; sieve 0 1 2 3 of 5","3 openings go; 2 other closings go; echo same","a word opening on a cluster never closes on a liquid; echo same; sieve 0 1 2 3 of 5"
05,1024,1792,1280,4096,696,10,"1 openings go; 1 closings go; a three letter word never opens on the breath; echo similar; sieve 0 1 2 of 4","1 liquid closings go; a word closing on a cluster never opens on a glide; sieve 0 1 2 3 4 of 6","a word opening on a cluster never closes on a hush or a tooth; echo same"
06,1024,1792,1280,4096,710,11,"1 openings go; 1 closings go; a three letter word never opens on the breath; echo similar; sieve 0 1 2 of 4","1 liquid closings go; a word closing on a cluster never opens on a glide; sieve 0 1 2 3 4 of 6","a word opening on a cluster never closes on a liquid; echo same; sieve 0 1 2 3 of 5"
07,1024,1792,1280,4096,695,13,"1 openings go; 1 closings go; a three letter word never opens on the breath; echo similar; sieve 0 1 2 of 4","3 openings go; 2 other closings go; echo same","a word opening on a cluster never closes on a hush or a tooth; echo same"
08,1024,1792,1280,4096,709,14,"1 openings go; 1 closings go; a three letter word never opens on the breath; echo similar; sieve 0 1 2 of 4","3 openings go; 2 other closings go; echo same","a word opening on a cluster never closes on a liquid; echo same; sieve 0 1 2 3 of 5"
