Tulsi,Holy Basil,Ocimum Sanctum
Turmeric,Curcumin,Curcuma longa
Tuvaraka,,Hydnocarpus laurifolia
Udumbara,Cluster Fig,Ficus Glomerata
Ushira,Vetiver,Vetiveria Zizanioides
Vacha,Sweet flag,Acorus Calamus
Varuna,,Crataeva Nurvala
Vasaka,Malabar nut,Adhatoda Vasica
Vatsanabha,,Aconitum ferox
Vidanga,,Embelia Ribes
Vijaysar,Malabar kino,Pterocarpus marsupium
Witch-Hazel,,Hamamelis Virginiana
Yashtimadhu,Licorice,Glycyrrhiza glabra
Yavasa,Camel thorn,Alhagi camelorum
