benom,chimpanzee
dubat,koala
xemat,mole
feyal,elephant
fehed,leopard
mared,hippopotamus
zaraf,giraffe
tahab,fox
mafin,coyote
gonoz,hedgehong
zabib,deer
zoror,ox
dunog,panda
vazed,walrus
genes,otter
kesab,kangaroo
ganam,goat
girid,monkey
faran,hippo
gonof,hedgehog
fukam,seal
hesab,seahorse
nasek,starfish
ginid,jellyfish
habar,squid
karen,lobster
beget,pelican
balit,clam
molen,dolphin
kixir,shell
gonab,sea urchin
noman,anemone
marag,coral
gigir,rat
hokot,octopus
toxat,wasp
sitik,tire
wagod,gasoline
rukab,knee
tazam,bone
gilid,skin
korok,elbow
wagig,face
digin,beard
xahir,hair
heyen,eye
famet,mouth
neker,nose
sinon,tooth
haden,ear
lisen,tongue
deher,back
sobet,limb finger
kedem,foot
kativ,hand
rigir,leg
hayid,arm
ketef,shoulder
galib,heart
damin,blood
nesol,island
ginak,:ng
rasin,head
rakab,neck
mayil,mile
madin,city
xakat,apartment
xarit,street
mazar,farm
funud,hotel
mahak,court
madas,school
makab,office
gamit,university
nadin,club
rafif,bar
hadig,park
makan,store
dokan,shop
masar,theater
makat,library
maxaf,hospital
kanis,church
sugok,market
mabin,building
benik,bank
bahar,sea
vanam,forest
watat,soil
wadin,valley
guzur,root
boher,lake
hoxib,grass
rimal,sand
mozeb,comet
himam,lava
haxib,meadow
bolan,volcano
fitir,mushroom
hafan,moss
tinar,mud
wasak,dirt
bohir,pond
barig,lightning
radid,thunder
gitar,train
tayir,plane
sayar,car
hafil,truck
hagal,bicycle
basik,bus
mukab,boat
safin,ship
gobat,hat
fosan,dress
badal,suit
rubat,tie
tenor,skirt
gamis,shirt
goson,bow
banun,pants
hizak,shoe
mitaf,coat
xorab,sock
libas,underwear
sewet,hood
mizal,umbrella
mohan,lawyer
tobib,doctor
marit,patient
seket,secretary
xekir,priest
zebit,police
mokem,veteran
gonod,soldier
fenen,artist
resik,president
nogos,money
homal,dollar
fatir,bill
harig,ethnicity
kitor,election
mogal,magazine
gerid,newspaper
hegid,contract
filem,movie
gewot,coffee
xahit,tea
nebik,:ne
xarab,beer
hasir,juice
moyet,water
halin,milk
gazik,beverage
beyed,egg
geben,cheese
rogif,bread
xoreb,soup
torot,cake
tofed,apple
mozim,banana
lenel,lemon
zorap,corn
rozan,rice
fotur,breakfast
gadek,lunch
haxet,dinner
sokor,sugar
milif,salt
sekip,knife
moleg,spoon
xokek,fork
sahin,plate
kubar,cup
heleb,bottle
magid,stool
himem,bathroom
resap,pencil
hibir,pen
soran,photograph
sepun,soap
kiteb,book
safim,page
mofet,key
heref,letter
warig,paper
hedog,garden
hoxis,yard
hibar,needle
hegib,bag
sonod,box
telig,ice
sehat,clock
lebet,lamp
lahaz,camera
telef,television
mosot,radio
zogag,glass
hedid,metal
metat,plastic
koxib,wood
sakor,stone
mosat,diamond
tinal,clay
gober,dust
daheb,gold
nohes,copper
fidac,silver
kereb,carbon
henit,inch
pomid,pound
nesam,consonant
seken,vowel
zenib,spring
dosib,summer
salib,fall
lomib,:nter
zener,january
doser,february
saler,march
lomer,april
kamer,may
mater,june
xaber,july
faner,august
naver,september
waper,october
paker,november
riker,december
zenot,note-a
dosot,note-a#
salot,note-b
lomot,note-c
kamot,note-c#
matot,note-d
xabot,note-d#
fanot,note-e
navot,note-f
wapot,note-f#
pakot,note-g
rikot,note-g#
zenat,sunday
dosat,monday
salat,tuesday
lomat,wednesday
kamat,thursday
matat,friday
xabat,saturday
sonat,year
xehir,month
sebot,week
yumik,day
leyen,night
sahet,hour
dageg,minute
zanir,second
rozen,bronze
teles,steel
mered,gallery
gadam,soccer
gonel,canal
baher,pilot
halem,flag
hudud,organ
vehar,hurricane
geyel,fantasy
bonod,rifle
hebar,ferry
getik,cattle
gowas,submarine
gutun,cotton
debur,beetle
tinen,dragon
xitar,chess
hilaw,candy
hexar,radar
merov,helicopter
silik,:re
hadel,muscle
hezaz,furniture
kemen,violin
kaniz,treasure
metar,hammer
lolab,tornado
reyet,lung
betot,duck
zayot,olive
dagig,powder
sehim,arrow
kebot,spider
fanob,yacht
xoraf,porch
helos,chocolate
sahir,:zard
wasid,lion
namil,ant
safor,yolk
helal,pot
waret,petal
hodes,bathtub
forox,brush
makad,pillow
rixik,feather
hebir,ink
sufuf,fiber
robat,rope
hovag,horizon
,semen
,several
,sew
,shaft
,shank
,shark
,sheep
,shirt
,shoe
,shoulder
,shrimp
,shrine
,sickle
,sidelong
,sideward
,sidewards
,sideways
,side:se
,silk
,skateboard
,ski
,skin
,skirt
,skull
,skyward
,slug
,sluggish
,snail
,snout
,snorkel
,snore
,soccer
,sock
,softball
,soldier
,son
,soup
,sparrow
,sperm
,spider
,spine
,spleen
,spoon
,spoon (body position)
,square
,squid
,squirrel
,staff
,staff member
,stage (theater)
,starch
,starfish
,stomach
,stork
,straightforward
,straightway
,strawberry
,studio
,subway
,larva
,aardvark
,albatross
,alligator
,alpaca
,anole
,ant
,anteater
,antelope
,ape
,armadillo
,donkey
,baboon
,badger
,barracuda
,bat
,bear
,beaver
,bee
,binturong
,bird
,bison
,bluebird
,boar
,bobcat
,budgerigar
,buffalo
,butterfly
,camel
,capybara
,caracal
,caribou
,cassowary
,cat
,caterpillar
,cattle
,chamois
,cheetah
,chicken
,chimpanzee
,chinchilla
,chough
,coati
,cobra
,cockroach
,cod
,cormorant
,cougar
,coyote
,crab
,crane
,cricket
,crocodile
,crow
,cuckoo
,curlew
,deer
,dhole
,dingo
,dinosaur
,dog
,dogfish
,dolphin
,donkey
,dove
,dragonfly
,duck
,dugong
,dunlin
,eagle
,echidna
,eel
,eland
,elephant
,elephant seal
,elk
,emu
,falcon
,ferret
,finch
,fish
,fisher
,flamingo
,fly
,flycatcher
,fox
,frog
,gaur
,gazelle
,gecko
,genet
,gerbil
,giant panda
,giraffe
,gnat
,gnu
,goat
,goldfinch
,goosander
,goose
,gorilla
,goshawk
,grasshopper
,grouse
,guanaco
,guinea fowl
,guinea pig
,gull
,hamster
,hare
,hawk
,hedgehog
,hermit crab
,heron
,herring
,hippopotamus
,hoatzin
,hoopoe
,hornet
,horse
,human
,hummingbird
,hyena
,ibex
,ibis
,iguana
,impala
,jackal
,jaguar
,jay
,jellyfish
,jerboa
,kangaroo
,kingbird
,kingfisher
,kinkajou
,kite
,koala
,kodkod
,komodo dragon
,kookaburra
,kouprey
,kudu
,langur
,lap:ng
,lark
,lechwe
,lemur
,leopard
,lion
,lizard
,llama
,lobster
,locust
,loris
,louse
,lynx
,lyrebird
,macaque
,macaw
,magpie
,mallard
,mammoth
,manatee
,mandrill
,margay
,marmoset
,marmot
,meerkat
,mink
,mole
,mongoose
,monkey
,moose
,mosquito
,mouse
,myna
,narwhal
,newt
,nightingale
,nilgai
,ocelot
,octopus
,okapi
,oncilla
,opossum
,orangutan
,oryx
,ostrich
,otter
,ox
,owl
,oyster
,panther
,parrot
,panda
,partridge
,peafowl
,penguin
,pheasant
,pig
,pigeon
,pika
,polar bear
,pony
,porcupine
,porpoise
,prairie dog
,pug
,quail
,quelea
,quetzal
,rabbit
,raccoon
,ramalso
,rat
,raven
,red deer
,red panda
,reindeer
,rhea
,rhinoceros
,rook
,saki
,salamander
