term            parts                     how
seventh         seven + order             sense
seventy         seven + ten               sense
shaman          spirit + talk + agent     sense
shrub           low + tree                sense
sight           see + act                 sense
sinew           muscle + cord             sense
sixteen         ten + six                 sense
sixth           six + order               sense
sixty           six + ten                 sense
slate           sheet + stone             sense
slug            shell + less + snail      sense
smith           metal + work + agent      sense
solstice        sun + stand + day         sense
song            sing + thing              sense
southward       south + oriented          sense
speech          speak + act               sense
spruce          needle + pine             sense
squawk          bird + screech            sense
squid           long + octopus            sense
squirrel        tree + rat                sense
starfish        star + fish               sense
steel           hard + iron               sense
steppe          dry + plain               sense
stork           long + leg + crane        sense
stranger        unknown + person          sense
strength        strong + measure          sense
submission      submit + act              sense
subscription    subscribe + act           sense
supper          night + meal              sense
surplus         extra + amount            sense
swan            white + goose             sense
syllable        sound + beat              sense
tambourine      shake + drum              sense
tangible        touch + able              sense
technology      craft + study             sense
telephone       far + talk + machine      sense
tendon          muscle + cord             sense
tenth           ten + order               sense
termite         wood + ant                sense
terrace         flat + step + land        sense
terrible        fear + able               sense
territory       rule + land               sense
tessellation    tile + pattern            sense
theft           steal + act               sense
thicket         thick + tree + group      sense
third           three + order             sense
thirty          three + ten               sense
thistle         thorn + weed              sense
thought         think + act               sense
thousandth      thousand + order          sense
tiger           stripe + wild + cat       sense
titan           giant + god               sense
totem           kin + sign                sense
toward          to + oriented             sense
toxin           toxic + thing             sense
train           fire + cart               sense
transmission    transmit + act            sense
triple          three + fold              sense
trout           stream + fish             sense
truth           true + nature             sense
tulip           cup + flower              sense
tundra          cold + plain              sense
tweet           bird + beep               sense
twelfth         twelve + order            sense
twentieth       twenty + order            sense
twenty          two + ten                 sense
twice           two + fold                sense
uncertainty     uncertain + nature        sense
underworld      under + world             sense
upward          up + oriented             sense
urn             ash + pot                 sense
utensil         eat + tool                sense
valor           brave + nature            sense
variable        vary + able               sense
variant         vary + kind               sense
variety         vary + nature             sense
various         vary + like               sense
vegetable       plant + food              sense
venus           love + planet             sense
verb            action + term             sense
villain         bad + person              sense
visible         see + able                sense
vocabulary      term + set                sense
volcano         fire + mountain           sense
vowel           open + sound              sense
vulture         dead + eat + eagle        sense
walrus          tusk + seal               sense
wanderer        wander + agent            sense
warmth          warm + nature             sense
wealth          rich + nature             sense
weaver          weave + agent             sense
weight          weigh + measure           sense
westward        west + oriented           sense
whinny          horse + call              sense
widow           dead + mate + woman       sense
width           wide + measure            sense
willow          weep + tree               sense
witchcraft      witch + craft             sense
woodpecker      wood + peck + bird        sense
wraith          dead + spirit             sense
wren            tiny + sparrow            sense
zebra           stripe + horse            sense
zodiac          beast + circle            sense
