term,atom,meaning,mandarin,vietnamese,total,languages,source
opinion,,,15,11,26,2,gloss
project,,,15,11,26,2,gloss
recite,,,16,10,26,2,gloss
scoop,,,15,11,26,2,gloss
senior,,,12,14,26,2,gloss
spider,ves,spider,14,12,26,2,both
spine,,,14,12,26,2,gloss
splash,,,15,11,26,2,gloss
trough,,,15,11,26,2,gloss
tumor,,,11,15,26,2,gloss
upward,,,13,13,26,2,gloss
usurp,,,16,10,26,2,gloss
apricot,,,11,14,25,2,gloss
attendant,,,10,15,25,2,gloss
chess,,,13,12,25,2,gloss
clumsy,,,14,11,25,2,gloss
contest,,,12,13,25,2,gloss
declare,,,15,10,25,2,gloss
deposit,,,14,11,25,2,gloss
eel,,,15,10,25,2,gloss
epidemic,,,15,10,25,2,gloss
fiber,,,10,15,25,2,gloss
flying,,,15,10,25,2,gloss
gall,,,10,15,25,2,gloss
gambling,,,12,13,25,2,gloss
insult,,,14,11,25,2,gloss
knee,norn,knee,15,10,25,2,both
kneel,,,15,10,25,2,gloss
lesson,,,10,15,25,2,gloss
lung,,,14,11,25,2,gloss
offender,,,14,11,25,2,gloss
pretty,,,14,11,25,2,gloss
rather,,,15,10,25,2,gloss
reserve,,,15,10,25,2,gloss
responsible,,,15,10,25,2,gloss
settled,,,14,11,25,2,gloss
slender,,,15,10,25,2,gloss
structure,,,12,13,25,2,gloss
taro,,,15,10,25,2,gloss
traveler,,,15,10,25,2,gloss
wise,,,14,11,25,2,gloss
blue-green,,,14,10,24,2,gloss
chew,txut,chew,12,12,24,2,both
communicate,,,10,14,24,2,gloss
dharma,,,14,10,24,2,gloss
discipline,,,11,13,24,2,gloss
encourage,,,12,12,24,2,gloss
polish,,,14,10,24,2,gloss
repeated,,,14,10,24,2,gloss
slant,,,13,11,24,2,gloss
some,sorm,some,13,11,24,2,both
stuff,,,12,12,24,2,gloss
subtle,,,12,12,24,2,gloss
vinegar,,,10,14,24,2,gloss
zither,,,13,11,24,2,gloss
attract,,,11,12,23,2,gloss
chop,,,11,12,23,2,gloss
coarse,,,11,12,23,2,gloss
coffin,,,12,11,23,2,gloss
detain,,,12,11,23,2,gloss
forge,,,11,12,23,2,gloss
formula,,,13,10,23,2,gloss
goat,glot,goat,10,13,23,2,both
linger,,,10,13,23,2,gloss
mansion,,,13,10,23,2,gloss
multiple,,,10,13,23,2,gloss
principal,,,11,12,23,2,gloss
prisoner,,,13,10,23,2,gloss
slippery,,,13,10,23,2,gloss
stain,,,11,12,23,2,gloss
warehouse,,,13,10,23,2,gloss
wound,wun,wound,13,10,23,2,both
assess,,,12,10,22,2,gloss
awake,,,12,10,22,2,gloss
cough,,,10,12,22,2,gloss
dare,,,12,10,22,2,gloss
discharge,,,10,12,22,2,gloss
edict,,,12,10,22,2,gloss
escort,,,12,10,22,2,gloss
menstruation,,,10,12,22,2,gloss
occupation,,,11,11,22,2,gloss
snatch,,,11,11,22,2,gloss
struggle,,,12,10,22,2,gloss
swift,,,10,12,22,2,gloss
tighten,,,10,12,22,2,gloss
batch,,,10,11,21,2,gloss
crawl,kik,crawl,11,10,21,2,both
ditch,,,10,11,21,2,gloss
mile,,,10,11,21,2,gloss
mosquito,,,11,10,21,2,gloss
perish,,,11,10,21,2,gloss
pry,,,10,11,21,2,gloss
written,,,10,11,21,2,gloss
chaste,,,10,10,20,2,gloss
criminal,,,10,10,20,2,gloss
meditation,,,10,10,20,2,gloss
mock,,,10,10,20,2,gloss
county,,,162,0,162,1,gloss
eternal,,,0,98,98,1,gloss
plum,,,96,0,96,1,gloss
genus,,,94,0,94,1,gloss
adjectival,,,93,0,93,1,gloss
say,zem,say,80,0,80,1,both
approach,,,78,0,78,1,gloss
account,,,64,0,64,1,gloss
knot,,,63,0,63,1,gloss
phonetic,,,63,0,63,1,gloss
acid,,,62,0,62,1,gloss
suitable,,,60,0,60,1,gloss
favorable,,,0,58,58,1,gloss
vase,,,0,56,56,1,gloss
extend,,,55,0,55,1,gloss
marker,,,55,0,55,1,gloss
car,,,54,0,54,1,gloss
yang,,,0,54,54,1,gloss
hill,cral,hill,53,0,53,1,both
lack,,,52,0,52,1,gloss
citadel,,,0,51,51,1,gloss
china,,,50,0,50,1,gloss
finish,finz,finish,50,0,50,1,both
hemp,,,49,0,49,1,gloss
gram,,,48,0,48,1,gloss
harbor,,,48,0,48,1,gloss
tuber,,,0,47,47,1,gloss
clothes,kof,clothes,46,0,46,1,both
forever,,,45,0,45,1,gloss
ride,rab,ride,45,0,45,1,both
by,baC,by,44,0,44,1,both
ticket,,,44,0,44,1,gloss
vietnamese,,,0,44,44,1,gloss
lofty,,,43,0,43,1,gloss
pale,,,0,43,43,1,gloss
peak,,,43,0,43,1,gloss
crown,,,42,0,42,1,gloss
flourishing,,,42,0,42,1,gloss
dish,,,41,0,41,1,gloss
leather,lon,leather,40,0,40,1,both
because,tuz,because,0,39,39,1,both
fork,,,39,0,39,1,gloss
journey,,,39,0,39,1,gloss
myriad,,,0,39,39,1,gloss
shed,,,39,0,39,1,gloss
substitute,,,39,0,39,1,gloss
answer,kulx,answer,38,0,38,1,both
awkward,,,0,38,38,1,gloss
between,tin,between,38,0,38,1,both
injury,,,38,0,38,1,gloss
metric,,,38,0,38,1,gloss
resemble,,,38,0,38,1,gloss
tread,,,38,0,38,1,gloss
decorate,,,37,0,37,1,gloss
lime,,,0,37,37,1,gloss
pool,,,37,0,37,1,gloss
roof,rub,roof,0,37,37,1,both
assistant,,,0,36,36,1,gloss
deputy,,,0,36,36,1,gloss
dim,,,0,36,36,1,gloss
golden,,,0,36,36,1,gloss
liquor,,,0,36,36,1,gloss
mushroom,xlum,mushroom,36,0,36,1,both
window,wol,window,36,0,36,1,both
fetus,,,0,35,35,1,gloss
sleeve,,,35,0,35,1,gloss
surround,,,35,0,35,1,gloss
wheat,,,35,0,35,1,gloss
abandon,,,34,0,34,1,gloss
currency,,,34,0,34,1,gloss
differ,,,34,0,34,1,gloss
flare,,,0,34,34,1,gloss
plow,,,34,0,34,1,gloss
qin,,,34,0,34,1,gloss
utter,,,0,34,34,1,gloss
deity,,,0,33,33,1,gloss
plough,,,0,33,33,1,gloss
shao,,,0,33,33,1,gloss
storehouse,,,33,0,33,1,gloss
swollen,,,0,33,33,1,gloss
trick,,,0,33,33,1,gloss
distance,corb,distance,32,0,32,1,both
europe,,,32,0,32,1,gloss
fast,fast,fast,32,0,32,1,both
girl,,,32,0,32,1,gloss
individual,,,32,0,32,1,gloss
weed,,,32,0,32,1,gloss
yam,,,0,32,32,1,gloss
allow,,,31,0,31,1,gloss
brilliant,,,31,0,31,1,gloss
courtyard,,,31,0,31,1,gloss
exhaust,,,31,0,31,1,gloss
limp,,,0,31,31,1,gloss
secure,,,31,0,31,1,gloss
wandering,,,0,31,31,1,gloss
wax,,,31,0,31,1,gloss
where,zuk,where,0,31,31,1,both
arise,,,30,0,30,1,gloss
attain,,,0,30,30,1,gloss
blocked,,,0,30,30,1,gloss
colour,,,0,30,30,1,gloss
confucian,,,0,30,30,1,gloss
egret,,,0,30,30,1,gloss
gray,xid,gray,30,0,30,1,both
hong,,,30,0,30,1,gloss
institute,,,0,30,30,1,gloss
no,nop,no,30,0,30,1,both
storm,zom,storm,0,30,30,1,both
wipe,,,30,0,30,1,gloss
crime,ref,crime,29,0,29,1,both
dazed,,,0,29,29,1,gloss
diminutive,,,29,0,29,1,gloss
echo,,,0,29,29,1,gloss
fist,,,29,0,29,1,gloss
glass,kes,glass,0,29,29,1,both
prick,,,29,0,29,1,gloss
slope,,,29,0,29,1,gloss
story,cok,story,0,29,29,1,both
along,,,28,0,28,1,gloss
culture,,,0,28,28,1,gloss
melt,,,28,0,28,1,gloss
numb,,,0,28,28,1,gloss
ocean,vrun,ocean,28,0,28,1,both
pile,,,28,0,28,1,gloss
specie,,,0,28,28,1,gloss
strive,,,28,0,28,1,gloss
alkali,,,27,0,27,1,gloss
although,,,0,27,27,1,gloss
arch,,,27,0,27,1,gloss
beforehand,,,27,0,27,1,gloss
both,,,27,0,27,1,gloss
cavity,,,27,0,27,1,gloss
cell,,,0,27,27,1,gloss
collar,,,27,0,27,1,gloss
crafty,,,27,0,27,1,gloss
dispatch,,,27,0,27,1,gloss
drip,,,27,0,27,1,gloss
freeze,,,27,0,27,1,gloss
jerk,,,0,27,27,1,gloss
learn,lin,learn,27,0,27,1,both
protruding,,,0,27,27,1,gloss
reasoning,,,0,27,27,1,gloss
remote,,,27,0,27,1,gloss
steep,,,27,0,27,1,gloss
tang,,,27,0,27,1,gloss
there,forc,there,0,27,27,1,both
universal,,,27,0,27,1,gloss
benevolence,,,26,0,26,1,gloss
betray,,,0,26,26,1,gloss
broadcast,,,26,0,26,1,gloss
buffalo,,,0,26,26,1,gloss
competition,,,26,0,26,1,gloss
extinguish,,,26,0,26,1,gloss
gem,,,0,26,26,1,gloss
glue,,,26,0,26,1,gloss
goose,,,26,0,26,1,gloss
having,,,0,26,26,1,gloss
mechanism,,,0,26,26,1,gloss
narrate,,,26,0,26,1,gloss
numerous,,,26,0,26,1,gloss
poplar,,,26,0,26,1,gloss
proclaim,,,0,26,26,1,gloss
purchase,,,26,0,26,1,gloss
smash,,,26,0,26,1,gloss
sweat,pim,sweat,26,0,26,1,both
threaten,,,0,26,26,1,gloss
tomorrow,,,0,26,26,1,gloss
weary,,,0,26,26,1,gloss
aircraft,,,25,0,25,1,gloss
bestow,,,25,0,25,1,gloss
clock,klak,clock,25,0,25,1,both
creature,,,0,25,25,1,gloss
deceit,,,0,25,25,1,gloss
detailed,,,25,0,25,1,gloss
exist,,,25,0,25,1,gloss
factory,,,25,0,25,1,gloss
fairy,,,0,25,25,1,gloss
imprint,,,25,0,25,1,gloss
inkstone,,,25,0,25,1,gloss
leap,,,25,0,25,1,gloss
mistake,stek,mistake,25,0,25,1,both
moth,,,25,0,25,1,gloss
mourn,,,25,0,25,1,gloss
oh,,,0,25,25,1,gloss
rent,,,25,0,25,1,gloss
resource,,,25,0,25,1,gloss
scattered,,,25,0,25,1,gloss
spiral,,,25,0,25,1,gloss
sunshine,,,0,25,25,1,gloss
taiwan,,,25,0,25,1,gloss
thai,,,25,0,25,1,gloss
thief,,,25,0,25,1,gloss
toad,,,0,25,25,1,gloss
urinate,,,0,25,25,1,gloss
wei,,,25,0,25,1,gloss
yuan,,,25,0,25,1,gloss
accuse,,,24,0,24,1,gloss
agate,,,24,0,24,1,gloss
bake,,,24,0,24,1,gloss
barrier,,,24,0,24,1,gloss
cunning,,,0,24,24,1,gloss
engage,,,24,0,24,1,gloss
english,,,24,0,24,1,gloss
feed,,,24,0,24,1,gloss
fond,,,0,24,24,1,gloss
format,,,24,0,24,1,gloss
fully,,,24,0,24,1,gloss
gap,cub,gap,24,0,24,1,both
garment,,,0,24,24,1,gloss
heel,,,0,24,24,1,gloss
injure,,,24,0,24,1,gloss
lasting,,,0,24,24,1,gloss
literary,,,0,24,24,1,gloss
native,,,0,24,24,1,gloss
pottery,,,24,0,24,1,gloss
qi,,,24,0,24,1,gloss
recount,,,24,0,24,1,gloss
resounding,,,0,24,24,1,gloss
ripe,,,0,24,24,1,gloss
society,,,24,0,24,1,gloss
whale,fek,whale,24,0,24,1,both
whip,,,24,0,24,1,gloss
able,,,23,0,23,1,gloss
article,,,23,0,23,1,gloss
bath,,,23,0,23,1,gloss
buddhist,,,23,0,23,1,gloss
congratulate,,,23,0,23,1,gloss
deliver,,,23,0,23,1,gloss
earnest,,,23,0,23,1,gloss
edition,,,23,0,23,1,gloss
enough,,,23,0,23,1,gloss
evaluate,,,23,0,23,1,gloss
glide,,,0,23,23,1,gloss
grope,,,0,23,23,1,gloss
jin,,,23,0,23,1,gloss
manure,,,23,0,23,1,gloss
measuring,,,0,23,23,1,gloss
opera,,,23,0,23,1,gloss
rabbit,rud,rabbit,23,0,23,1,both
rampart,,,0,23,23,1,gloss
refine,,,23,0,23,1,gloss
undergo,,,23,0,23,1,gloss
warship,,,23,0,23,1,gloss
adjust,,,22,0,22,1,gloss
appropriate,,,22,0,22,1,gloss
belong,,,22,0,22,1,gloss
bug,,,22,0,22,1,gloss
cliff,kuv,cliff,22,0,22,1,both
coil,,,22,0,22,1,gloss
dye,,,22,0,22,1,gloss
eager,,,0,22,22,1,gloss
eagle,fon,eagle,22,0,22,1,both
fern,,,22,0,22,1,gloss
fog,farg,fog,22,0,22,1,both
forbid,,,0,22,22,1,gloss
frost,,,22,0,22,1,gloss
giant,,,22,0,22,1,gloss
harmonious,,,22,0,22,1,gloss
huge,,,22,0,22,1,gloss
livestock,,,22,0,22,1,gloss
lot,,,0,22,22,1,gloss
luxuriant,,,22,0,22,1,gloss
marry,,,22,0,22,1,gloss
might,,,22,0,22,1,gloss
mist,,,22,0,22,1,gloss
n,,,0,22,22,1,gloss
ox,,,22,0,22,1,gloss
pad,,,22,0,22,1,gloss
pound,,,22,0,22,1,gloss
ton,,,22,0,22,1,gloss
when,win,when,0,22,22,1,both
wu,,,22,0,22,1,gloss
bold,,,0,21,21,1,gloss
bomb,,,0,21,21,1,gloss
clamp,,,21,0,21,1,gloss
comfort,,,21,0,21,1,gloss
communal,,,0,21,21,1,gloss
compensate,,,0,21,21,1,gloss
crystal,,,21,0,21,1,gloss
date,,,21,0,21,1,gloss
deliberate,,,0,21,21,1,gloss
depend,,,21,0,21,1,gloss
every,hez,every,21,0,21,1,both
fermented,,,0,21,21,1,gloss
granary,,,21,0,21,1,gloss
inquire,,,21,0,21,1,gloss
kong,,,21,0,21,1,gloss
mail,,,21,0,21,1,gloss
minor,,,0,21,21,1,gloss
misfortune,,,0,21,21,1,gloss
mottled,,,21,0,21,1,gloss
overall,,,21,0,21,1,gloss
pregnancy,,,21,0,21,1,gloss
rebel,,,21,0,21,1,gloss
reply,,,21,0,21,1,gloss
sever,,,21,0,21,1,gloss
superfluous,,,21,0,21,1,gloss
torment,,,0,21,21,1,gloss
unite,,,0,21,21,1,gloss
wealthy,,,0,21,21,1,gloss
zone,,,21,0,21,1,gloss
admonish,,,20,0,20,1,gloss
and,kon,and,20,0,20,1,both
areca,,,0,20,20,1,gloss
await,,,20,0,20,1,gloss
brave,,,20,0,20,1,gloss
compose,,,20,0,20,1,gloss
craftsman,,,20,0,20,1,gloss
curved,,,0,20,20,1,gloss
dam,,,20,0,20,1,gloss
dipper,,,20,0,20,1,gloss
drooping,,,0,20,20,1,gloss
emit,,,20,0,20,1,gloss
enmity,,,0,20,20,1,gloss
esteemed,,,0,20,20,1,gloss
exam,,,20,0,20,1,gloss
flourish,,,20,0,20,1,gloss
frighten,,,20,0,20,1,gloss
gentleman,,,20,0,20,1,gloss
grip,,,20,0,20,1,gloss
honest,,,20,0,20,1,gloss
mortar,,,0,20,20,1,gloss
relationship,,,20,0,20,1,gloss
riverbank,,,20,0,20,1,gloss
rotate,,,20,0,20,1,gloss
sequence,,,20,0,20,1,gloss
should,,,20,0,20,1,gloss
site,,,20,0,20,1,gloss
skirt,,,20,0,20,1,gloss
slice,,,20,0,20,1,gloss
sore,,,20,0,20,1,gloss
stall,,,20,0,20,1,gloss
steadfast,,,0,20,20,1,gloss
stray,,,0,20,20,1,gloss
suppose,,,0,20,20,1,gloss
tank,,,0,20,20,1,gloss
transliteration,,,20,0,20,1,gloss
zhou,,,20,0,20,1,gloss
a,,,0,19,19,1,gloss
alliance,,,19,0,19,1,gloss
arrogant,,,0,19,19,1,gloss
aspect,,,19,0,19,1,gloss
bay,,,19,0,19,1,gloss
bubble,,,19,0,19,1,gloss
chance,tos,chance,19,0,19,1,both
cicada,,,19,0,19,1,gloss
construct,,,19,0,19,1,gloss
craft,,,0,19,19,1,gloss
crave,,,0,19,19,1,gloss
curl,,,19,0,19,1,gloss
decrease,dal,decrease,19,0,19,1,both
delicate,,,19,0,19,1,gloss
distinguish,,,19,0,19,1,gloss
duckweed,,,0,19,19,1,gloss
dwelling,,,19,0,19,1,gloss
encircle,,,0,19,19,1,gloss
fever,,,0,19,19,1,gloss
forehead,,,19,0,19,1,gloss
glossy,,,0,19,19,1,gloss
guarantee,,,19,0,19,1,gloss
indicate,,,19,0,19,1,gloss
industry,,,19,0,19,1,gloss
injustice,,,19,0,19,1,gloss
japanese,,,19,0,19,1,gloss
juice,,,19,0,19,1,gloss
kernel,,,19,0,19,1,gloss
kick,,,0,19,19,1,gloss
ladle,,,19,0,19,1,gloss
landing,,,0,19,19,1,gloss
limb,larm,limb,19,0,19,1,both
mushy,,,0,19,19,1,gloss
mustard,,,0,19,19,1,gloss
mutter,,,19,0,19,1,gloss
neighbor,narb,neighbor,19,0,19,1,both
oak,,,19,0,19,1,gloss
obscure,,,19,0,19,1,gloss
offspring,,,19,0,19,1,gloss
permit,,,19,0,19,1,gloss
persuade,,,19,0,19,1,gloss
pigeon,,,19,0,19,1,gloss
poem,,,19,0,19,1,gloss
rat,reg,rat,19,0,19,1,both
reflect,,,19,0,19,1,gloss
remainder,,,19,0,19,1,gloss
resolve,,,0,19,19,1,gloss
result,xen,result,0,19,19,1,both
scorn,,,0,19,19,1,gloss
spare,,,19,0,19,1,gloss
spell,,,19,0,19,1,gloss
startle,,,19,0,19,1,gloss
stool,,,19,0,19,1,gloss
sunny,,,19,0,19,1,gloss
temperature,,,19,0,19,1,gloss
tin,,,19,0,19,1,gloss
tremble,,,19,0,19,1,gloss
velvet,,,0,19,19,1,gloss
who,miqk,who,0,19,19,1,both
ache,,,0,18,18,1,gloss
administration,,,0,18,18,1,gloss
also,,,18,0,18,1,gloss
angry,,,0,18,18,1,gloss
antelope,,,18,0,18,1,gloss
anti,,,18,0,18,1,gloss
attached,,,18,0,18,1,gloss
beak,bruk,beak,0,18,18,1,both
beloved,,,0,18,18,1,gloss
bullet,,,18,0,18,1,gloss
candy,,,0,18,18,1,gloss
chestnut,,,18,0,18,1,gloss
commit,,,18,0,18,1,gloss
daughter,bip,daughter,18,0,18,1,both
disk,,,18,0,18,1,gloss
dislike,,,18,0,18,1,gloss
dismiss,,,18,0,18,1,gloss
diva,,,0,18,18,1,gloss
dove,,,0,18,18,1,gloss
entangled,,,0,18,18,1,gloss
fellow,,,0,18,18,1,gloss
fertile,,,18,0,18,1,gloss
focus,kat,focus,18,0,18,1,both
follower,nak,follower,18,0,18,1,both
harmonize,,,18,0,18,1,gloss
hire,,,18,0,18,1,gloss
hybrid,,,0,18,18,1,gloss
involve,,,18,0,18,1,gloss
lady,,,0,18,18,1,gloss
lament,,,0,18,18,1,gloss
lowly,,,0,18,18,1,gloss
neat,,,0,18,18,1,gloss
nuclear,,,18,0,18,1,gloss
oppress,,,0,18,18,1,gloss
overcome,,,18,0,18,1,gloss
overturn,,,18,0,18,1,gloss
pink,,,0,18,18,1,gloss
plead,,,0,18,18,1,gloss
plump,,,0,18,18,1,gloss
pouch,,,18,0,18,1,gloss
revive,,,18,0,18,1,gloss
score,,,18,0,18,1,gloss
seep,,,18,0,18,1,gloss
shy,,,0,18,18,1,gloss
sigh,,,18,0,18,1,gloss
slimy,,,0,18,18,1,gloss
soar,,,18,0,18,1,gloss
supreme,,,0,18,18,1,gloss
syllable,,,18,0,18,1,gloss
tenth,,,18,0,18,1,gloss
tobacco,,,18,0,18,1,gloss
tragic,,,0,18,18,1,gloss
women's,,,18,0,18,1,gloss
afternoon,,,0,17,17,1,gloss
anchor,,,17,0,17,1,gloss
awaken,,,17,0,17,1,gloss
award,,,17,0,17,1,gloss
bald,,,17,0,17,1,gloss
bill,,,17,0,17,1,gloss
bland,,,0,17,17,1,gloss
blunt,,,0,17,17,1,gloss
canopy,,,0,17,17,1,gloss
circuit,,,0,17,17,1,gloss
confine,,,17,0,17,1,gloss
cypress,,,17,0,17,1,gloss
damage,,,17,0,17,1,gloss
domestic,,,17,0,17,1,gloss
era,,,0,17,17,1,gloss
erode,,,17,0,17,1,gloss
european,,,0,17,17,1,gloss
finished,,,0,17,17,1,gloss
fishy,,,0,17,17,1,gloss
fling,,,17,0,17,1,gloss
flour,,,17,0,17,1,gloss
foam,,,0,17,17,1,gloss
friendship,,,17,0,17,1,gloss
gallop,,,17,0,17,1,gloss
gaze,,,17,0,17,1,gloss
greet,vak,greet,0,17,17,1,both
huang,,,17,0,17,1,gloss
ignore,got,ignore,0,17,17,1,both
initial,,,0,17,17,1,gloss
insolent,,,0,17,17,1,gloss
intend,,,0,17,17,1,gloss
joke,djok,joke,0,17,17,1,both
junior,,,0,17,17,1,gloss
korea,,,17,0,17,1,gloss
lion,groq,lion,17,0,17,1,both
mausoleum,,,0,17,17,1,gloss
mole,,,17,0,17,1,gloss
motion,miq,motion,0,17,17,1,both
mugwort,,,17,0,17,1,gloss
ore,,,17,0,17,1,gloss
pear,,,17,0,17,1,gloss
pus,,,17,0,17,1,gloss
rapid,,,17,0,17,1,gloss
residue,,,0,17,17,1,gloss
sage,,,17,0,17,1,gloss
serious,,,17,0,17,1,gloss
shaggy,,,0,17,17,1,gloss
slurry,,,17,0,17,1,gloss
surprise,saz,surprise,17,0,17,1,both
tangled,,,0,17,17,1,gloss
target,,,17,0,17,1,gloss
weasel,,,17,0,17,1,gloss
wen,,,17,0,17,1,gloss
zhao,,,17,0,17,1,gloss
anxious,,,16,0,16,1,gloss
badge,,,16,0,16,1,gloss
berry,,,16,0,16,1,gloss
blank,,,16,0,16,1,gloss
blend,,,16,0,16,1,gloss
broom,,,0,16,16,1,gloss
candle,,,16,0,16,1,gloss
carp,,,16,0,16,1,gloss
ceremonial,,,0,16,16,1,gloss
concubine,,,16,0,16,1,gloss
confuse,wal,confuse,16,0,16,1,both
conical,,,0,16,16,1,gloss
cooperate,,,16,0,16,1,gloss
credit,,,16,0,16,1,gloss
creep,,,0,16,16,1,gloss
defecate,,,0,16,16,1,gloss
dimension,,,0,16,16,1,gloss
doctrine,,,0,16,16,1,gloss
donkey,,,16,0,16,1,gloss
dreg,,,16,0,16,1,gloss
extravagant,,,16,0,16,1,gloss
farmer,naq,farmer,16,0,16,1,both
get,cit,get,16,0,16,1,both
glutinous,,,0,16,16,1,gloss
governess,,,16,0,16,1,gloss
habit,,,0,16,16,1,gloss
here,doz,here,0,16,16,1,both
heron,,,16,0,16,1,gloss
hu,,,16,0,16,1,gloss
illusory,,,0,16,16,1,gloss
indeed,,,0,16,16,1,gloss
internet,,,16,0,16,1,gloss
it,vax,it,16,0,16,1,both
itchy,,,0,16,16,1,gloss
ize,,,0,16,16,1,gloss
kiss,kip,kiss,16,0,16,1,both
kudzu,,,16,0,16,1,gloss
lay,,,16,0,16,1,gloss
mean,,,16,0,16,1,gloss
navigate,,,16,0,16,1,gloss
neglect,,,16,0,16,1,gloss
owe,,,16,0,16,1,gloss
oxygen,,,16,0,16,1,gloss
perch,,,16,0,16,1,gloss
perhaps,,,0,16,16,1,gloss
pity,,,16,0,16,1,gloss
ponder,,,0,16,16,1,gloss
prohibit,,,16,0,16,1,gloss
rack,,,16,0,16,1,gloss
raised,,,0,16,16,1,gloss
ray,,,0,16,16,1,gloss
repeat,vav,repeat,16,0,16,1,both
risk,,,16,0,16,1,gloss
sample,,,16,0,16,1,gloss
shaft,,,16,0,16,1,gloss
sin,,,16,0,16,1,gloss
solicit,,,16,0,16,1,gloss
spicy,,,16,0,16,1,gloss
splendor,,,16,0,16,1,gloss
stingy,,,0,16,16,1,gloss
stir-fry,,,16,0,16,1,gloss
stuck,,,0,16,16,1,gloss
text,tox,text,16,0,16,1,both
third,,,16,0,16,1,gloss
throne,,,0,16,16,1,gloss
thud,,,0,16,16,1,gloss
vague,,,16,0,16,1,gloss
vow,,,0,16,16,1,gloss
warrior,,,0,16,16,1,gloss
wither,,,16,0,16,1,gloss
within,,,16,0,16,1,gloss
wronged,,,0,16,16,1,gloss
adhere,,,15,0,15,1,gloss
alarm,,,15,0,15,1,gloss
armpit,,,0,15,15,1,gloss
auxiliary,,,0,15,15,1,gloss
aware,,,0,15,15,1,gloss
axle,,,15,0,15,1,gloss
beside,sadj,beside,0,15,15,1,both
betel,,,0,15,15,1,gloss
blanket,tiv,blanket,0,15,15,1,both
boom,,,0,15,15,1,gloss
boy,,,0,15,15,1,gloss
breathe,sar,breathe,0,15,15,1,both
cabin,,,15,0,15,1,gloss
capable,,,0,15,15,1,gloss
charcoal,,,15,0,15,1,gloss
chemical,,,0,15,15,1,gloss
chu,,,0,15,15,1,gloss
cinnabar,,,15,0,15,1,gloss
clay,mal,clay,15,0,15,1,both
club,,,15,0,15,1,gloss
complement,,,15,0,15,1,gloss
cormorant,,,0,15,15,1,gloss
destiny,,,0,15,15,1,gloss
dose,,,15,0,15,1,gloss
duke,,,0,15,15,1,gloss
encroach,,,0,15,15,1,gloss
entire,,,0,15,15,1,gloss
envy,,,0,15,15,1,gloss
exhausted,,,0,15,15,1,gloss
fishing,,,15,0,15,1,gloss
funeral,,,15,0,15,1,gloss
gong,,,0,15,15,1,gloss
hawk,,,15,0,15,1,gloss
inherit,,,15,0,15,1,gloss
inject,,,0,15,15,1,gloss
itch,,,15,0,15,1,gloss
link,,,15,0,15,1,gloss
longing,,,0,15,15,1,gloss
loosen,,,15,0,15,1,gloss
lush,,,15,0,15,1,gloss
mango,,,0,15,15,1,gloss
momentum,,,0,15,15,1,gloss
my,,,15,0,15,1,gloss
next,fid,next,15,0,15,1,both
nucleus,,,15,0,15,1,gloss
offset,,,15,0,15,1,gloss
organize,,,15,0,15,1,gloss
paddy,,,0,15,15,1,gloss
paired,,,15,0,15,1,gloss
patty,,,0,15,15,1,gloss
peek,,,0,15,15,1,gloss
penetrate,,,15,0,15,1,gloss
phosphorus,,,15,0,15,1,gloss
place-name,,,15,0,15,1,gloss
plug,,,15,0,15,1,gloss
pocket,gop,pocket,0,15,15,1,both
poke,,,0,15,15,1,gloss
previous,daf,previous,15,0,15,1,both
punch,,,0,15,15,1,gloss
quarter,,,15,0,15,1,gloss
random,,,0,15,15,1,gloss
ready,,,0,15,15,1,gloss
refuse,,,15,0,15,1,gloss
rein,,,15,0,15,1,gloss
resound,,,0,15,15,1,gloss
rod,,,15,0,15,1,gloss
sabre,,,0,15,15,1,gloss
satisfied,,,0,15,15,1,gloss
scar,,,15,0,15,1,gloss
secluded,,,15,0,15,1,gloss
shovel,yol,shovel,15,0,15,1,both
sichuan,,,15,0,15,1,gloss
silicon,,,15,0,15,1,gloss
sister-in-law,,,15,0,15,1,gloss
skilled,,,0,15,15,1,gloss
stable,,,15,0,15,1,gloss
tablet,,,15,0,15,1,gloss
tai,,,0,15,15,1,gloss
temper,,,15,0,15,1,gloss
they,pem,they,0,15,15,1,both
toilet,,,15,0,15,1,gloss
trim,,,0,15,15,1,gloss
ugly,,,15,0,15,1,gloss
unfinished,,,0,15,15,1,gloss
unusual,,,15,0,15,1,gloss
valve,,,15,0,15,1,gloss
want,want,want,15,0,15,1,both
wasp,,,15,0,15,1,gloss
week,wek,week,15,0,15,1,both
wrist,,,15,0,15,1,gloss
yan,,,15,0,15,1,gloss
abdomen,,,14,0,14,1,gloss
acute,,,14,0,14,1,gloss
agricultural,,,0,14,14,1,gloss
algae,,,14,0,14,1,gloss
alive,,,14,0,14,1,gloss
alley,,,0,14,14,1,gloss
allocate,,,14,0,14,1,gloss
appraise,,,14,0,14,1,gloss
askew,,,0,14,14,1,gloss
aviation,,,14,0,14,1,gloss
bosom,,,14,0,14,1,gloss
burden,,,14,0,14,1,gloss
c,,,0,14,14,1,gloss
carbon,,,14,0,14,1,gloss
catalpa,,,14,0,14,1,gloss
chat,,,14,0,14,1,gloss
circulate,,,14,0,14,1,gloss
compassion,,,0,14,14,1,gloss
concave,,,14,0,14,1,gloss
confer,,,0,14,14,1,gloss
connected,,,14,0,14,1,gloss
cricket,,,14,0,14,1,gloss
diagonal,,,0,14,14,1,gloss
droop,,,0,14,14,1,gloss
